#{"t_start": 1783832191.6869724, "env_id": "LunarLander-v3"}
r,l,t
-69.391513,79,3.797448
-425.651887,135,3.872266
-134.571899,64,3.906757
-120.109292,65,3.947183
-115.871861,100,4.009456
-79.088227,61,4.044218
-113.992007,72,4.103924
-289.591745,80,4.147095
-271.056548,85,4.197841
-107.912067,85,4.2442
-124.644663,57,4.283377
-288.59501,70,4.323813
-516.811647,96,4.381831
-218.420491,98,4.452661
-102.072608,63,4.487429
-164.046083,98,4.548833
-131.918712,85,4.595173
-199.037487,78,4.641816
-85.41348,91,4.694935
-88.662853,74,4.744399
-19.564115,123,4.82006
-127.441291,107,4.879337
-175.64719,98,4.934608
-325.500046,93,6.182493
-424.529281,102,6.251158
-208.967982,118,6.324118
-258.615366,126,6.398809
-212.376094,80,6.440411
-298.859467,87,6.489758
-120.769505,109,6.552729
-167.557127,69,6.626319
-99.373758,112,6.705308
-148.893105,79,6.748662
-412.652105,79,6.79196
-4.188333,93,6.843961
25.958531,85,6.891482
-166.223651,81,6.938205
-127.935045,106,6.996974
-216.941937,93,7.051185
-232.37903,101,7.107558
-163.763997,67,7.144973
-464.020262,110,7.209366
-92.901158,86,7.256862
-82.208289,79,7.308597
-85.832967,63,7.361785
-185.284988,81,7.409271
-108.055981,89,8.623456
-115.329304,92,8.680068
-63.061648,72,8.723431
-158.355704,107,8.788298
-248.205201,118,8.849559
-117.121481,140,8.92717
-148.144182,98,8.977809
-134.538046,106,9.033559
-129.521008,154,9.114701
-59.811091,69,9.150388
-294.682509,84,9.201543
-101.510017,70,9.252361
-86.292392,76,9.300721
-221.590286,90,9.36103
-107.546655,86,9.413028
-227.247396,111,9.478817
-157.594221,107,9.548825
-184.327809,100,9.602797
-195.238552,83,9.648613
-171.063946,116,9.721513
-211.07317,121,10.924631
-332.78905,169,11.027388
-58.206743,70,11.070022
-80.282727,120,11.137533
-163.505667,112,11.196818
-137.959464,93,11.243697
-66.60393,72,11.281239
-210.756007,117,11.341292
-120.905815,129,11.409588
-122.432411,108,11.46623
-169.251577,117,11.527344
-318.334938,144,11.611189
-107.982646,63,11.644231
-79.469053,70,11.687829
-99.108512,86,11.745733
-58.915241,121,11.814127
-137.65114,79,11.861362
-265.553449,147,11.940622
-322.69429,111,12.005822
-99.851604,103,12.063209
-81.450342,93,13.1949
-345.853785,164,13.293847
-156.64387,83,13.344169
-90.824526,80,13.387099
-92.438738,74,13.428725
-197.964264,171,13.516448
-233.843874,113,13.588256
-134.806635,92,13.640498
-332.75179,115,13.70295
-160.529226,94,13.754167
-232.599491,117,13.840295
-87.943232,106,13.898626
-166.758646,100,13.95108
-153.675197,125,14.046971
-81.617751,138,14.128626
-82.323644,104,14.182243
-64.095942,65,14.223544
-105.626927,76,14.263554
-159.613891,92,14.310849
-406.97509,115,15.547562
-59.520719,132,15.628845
-163.448305,143,15.714458
-100.424654,106,15.775786
-298.925644,135,15.847141
-163.530428,110,15.906392
-76.680015,121,15.988527
-49.288487,169,16.084525
-202.935003,164,16.19285
-387.427886,146,16.280534
-51.755448,82,16.322595
-312.106741,107,16.391343
-77.727316,136,16.478648
-332.033491,139,16.549646
-195.546278,118,16.614958
-78.88713,75,16.657168
-402.689922,99,16.725361
-120.627333,147,17.988588
-24.336987,76,18.043357
-41.090803,80,18.092509
-156.916922,98,18.145711
-191.423531,104,18.200004
-37.801593,92,18.246682
-27.67738,86,18.292052
-195.422249,156,18.392248
-189.078836,157,18.479539
-343.25565,228,18.619901
-112.866797,175,18.731155
-50.747716,90,18.808949
-167.269432,172,18.914948
-72.841416,85,18.9658
-451.01881,143,19.047175
-117.120531,189,20.266972
-111.709601,109,20.331502
-294.343186,125,20.40633
