#{"t_start": 1783326785.3322966, "env_id": "CartPole-v1"}
r,l,t
15.0,15,6.120633
14.0,14,6.137497
17.0,17,6.157045
10.0,10,6.169762
25.0,25,6.198569
48.0,48,6.254267
32.0,32,6.294268
11.0,11,6.306637
24.0,24,6.336129
19.0,19,6.361397
12.0,12,6.377199
24.0,24,6.404935
20.0,20,6.427793
14.0,14,6.447819
14.0,14,6.464295
38.0,38,6.51334
27.0,27,6.545385
23.0,23,6.572518
32.0,32,6.616827
19.0,19,6.641164
17.0,17,6.66102
19.0,19,6.682219
24.0,24,6.71017
19.0,19,6.734712
9.0,9,6.744206
11.0,11,6.756886
23.0,23,6.785939
18.0,18,6.805872
10.0,10,6.818973
13.0,13,6.833479
14.0,14,6.853159
19.0,19,6.876922
8.0,8,6.884984
31.0,31,6.923564
17.0,17,6.947731
15.0,15,6.966197
17.0,17,6.985973
29.0,29,7.019468
20.0,20,7.045483
11.0,11,7.059328
16.0,16,7.080719
14.0,14,7.097039
20.0,20,7.119564
18.0,18,7.140981
33.0,33,7.179232
21.0,21,7.208865
20.0,20,7.234676
20.0,20,7.26061
19.0,19,7.286126
14.0,14,7.302428
24.0,24,7.329797
24.0,24,7.365659
33.0,33,7.416158
25.0,25,7.449831
26.0,26,7.485165
14.0,14,7.503017
21.0,21,7.529205
27.0,27,7.561494
15.0,15,7.58006
26.0,26,7.612482
11.0,11,7.627375
17.0,17,7.64683
13.0,13,7.662644
32.0,32,7.704675
17.0,17,7.728249
10.0,10,7.740605
37.0,37,7.789528
17.0,17,7.810569
15.0,15,7.832698
20.0,20,7.85823
22.0,22,7.883551
19.0,19,7.90694
22.0,22,7.932623
42.0,42,8.00382
17.0,17,8.026797
22.0,22,8.054138
77.0,77,8.148252
13.0,13,8.164582
14.0,14,8.18101
28.0,28,8.218243
11.0,11,8.233546
11.0,11,8.247238
17.0,17,8.268744
12.0,12,8.284772
20.0,20,8.308737
41.0,41,8.35676
19.0,19,8.378678
13.0,13,8.393521
28.0,28,8.427698
22.0,22,8.453289
9.0,9,8.46397
20.0,20,8.487902
11.0,11,8.500776
15.0,15,8.520317
27.0,27,8.550493
13.0,13,8.566362
28.0,28,8.602212
23.0,23,8.629392
16.0,16,8.647948
14.0,14,8.663197
23.0,23,10.93996
15.0,15,10.959439
18.0,18,10.981301
22.0,22,11.009955
34.0,34,11.054299
20.0,20,11.081418
10.0,10,11.09347
17.0,17,11.115236
38.0,38,11.156785
26.0,26,11.190797
24.0,24,11.220309
17.0,17,11.242538
28.0,28,11.275584
10.0,10,11.287838
16.0,16,11.306263
57.0,57,11.372493
24.0,24,11.400971
14.0,14,11.417354
29.0,29,11.455518
30.0,30,11.495687
18.0,18,11.515073
18.0,18,11.535957
30.0,30,11.572867
20.0,20,11.596632
21.0,21,11.621852
46.0,46,11.675979
25.0,25,11.705131
30.0,30,11.746048
12.0,12,11.763176
119.0,119,11.928218
59.0,59,12.011591
17.0,17,12.03327
14.0,14,12.057218
25.0,25,12.08921
98.0,98,12.211571
39.0,39,12.259136
24.0,24,12.292202
20.0,20,12.315209
36.0,36,12.358791
30.0,30,12.396633
20.0,20,12.425043
58.0,58,12.505379
24.0,24,12.536043
32.0,32,12.573102
71.0,71,12.654729
21.0,21,12.679912
12.0,12,12.694264
29.0,29,12.732763
19.0,19,12.756646
16.0,16,12.774802
23.0,23,12.817822
26.0,26,12.849359
24.0,24,12.879613
23.0,23,12.906888
12.0,12,12.920837
39.0,39,12.970263
18.0,18,12.99134
32.0,32,13.031796
17.0,17,13.053297
32.0,32,13.090204
17.0,17,13.111689
18.0,18,13.133388
22.0,22,13.159852
23.0,23,13.191733
12.0,12,13.208709
51.0,51,13.27363
19.0,19,13.297994
63.0,63,13.373311
42.0,42,13.425366
25.0,25,13.458586
38.0,38,15.738426
22.0,22,15.7669
14.0,14,15.78154
110.0,110,15.92065
20.0,20,15.944709
20.0,20,15.965916
21.0,21,15.988811
69.0,69,16.072427
50.0,50,16.12912
21.0,21,16.154906
15.0,15,16.17383
46.0,46,16.2327
39.0,39,16.282957
66.0,66,16.368384
76.0,76,16.455711
63.0,63,16.531888
30.0,30,16.57467
16.0,16,16.598053
66.0,66,16.686512
65.0,65,16.782991
24.0,24,16.832805
88.0,88,16.937464
56.0,56,17.001547
52.0,52,17.060995
41.0,41,17.107615
54.0,54,17.170971
13.0,13,17.186919
59.0,59,17.258422
123.0,123,17.407306
36.0,36,17.451643
99.0,99,17.573188
34.0,34,17.612796
25.0,25,17.642321
15.0,15,17.661082
33.0,33,17.697784
20.0,20,17.721602
24.0,24,17.750599
55.0,55,17.813256
18.0,18,17.834173
55.0,55,17.90095
54.0,54,17.963474
81.0,81,18.064389
41.0,41,18.117671
32.0,32,18.157596
43.0,43,18.212826
97.0,97,20.579922
35.0,35,20.619643
171.0,171,20.824651
90.0,90,20.930093
44.0,44,20.980616
100.0,100,21.102508
51.0,51,21.162328
178.0,178,21.402318
138.0,138,21.57359
84.0,84,21.676987
56.0,56,21.746132
17.0,17,21.765903
126.0,126,21.922017
47.0,47,21.976548
44.0,44,22.026515
61.0,61,22.104883
47.0,47,22.160232
114.0,114,22.296351
116.0,116,22.443844
25.0,25,22.476159
47.0,47,22.532273
168.0,168,22.737613
45.0,45,22.789456
69.0,69,22.877576
95.0,95,22.996901
84.0,84,25.350775
104.0,104,25.489588
153.0,153,25.670167
138.0,138,25.837128
102.0,102,25.957674
64.0,64,26.041429
53.0,53,26.105514
71.0,71,26.189007
84.0,84,26.290153
17.0,17,26.310237
95.0,95,26.441694
67.0,67,26.548571
122.0,122,26.693668
193.0,193,26.920896
136.0,136,27.079233
94.0,94,27.194879
50.0,50,27.254464
199.0,199,27.501602
101.0,101,27.628985
163.0,163,30.069098
149.0,149,30.262499
221.0,221,30.523106
356.0,356,30.960203
156.0,156,31.156039
184.0,184,31.380873
157.0,157,31.576564
188.0,188,31.811314
18.0,18,31.835618
170.0,170,32.041416
187.0,187,32.295343
149.0,149,32.49208
129.0,129,34.929844
126.0,126,35.095027
99.0,99,35.20879
246.0,246,35.504279
144.0,144,35.684361
201.0,201,35.930435
159.0,159,36.131731
117.0,117,36.277243
119.0,119,36.425793
160.0,160,36.629014
182.0,182,36.859622
148.0,148,37.033809
158.0,158,37.228013
120.0,120,37.384104
355.0,355,40.109718
223.0,223,40.373127
191.0,191,40.607499
184.0,184,40.839122
181.0,181,41.058133
158.0,158,41.266732
191.0,191,41.50383
216.0,216,41.769624
168.0,168,41.980677
180.0,180,42.209372
285.0,285,44.805784
500.0,500,45.404815
280.0,280,45.749391
244.0,244,46.034792
331.0,331,46.439549
387.0,387,46.922215
249.0,249,49.490093
377.0,377,49.956159
217.0,217,50.228509
500.0,500,50.860778
218.0,218,51.139658
500.0,500,51.765334
484.0,484,54.613463
311.0,311,54.998651
269.0,269,55.34086
500.0,500,55.959017
500.0,500,56.568052
500.0,500,59.424273
500.0,500,60.039559
500.0,500,60.647812
500.0,500,61.28306
377.0,377,64.021989
500.0,500,64.625355
500.0,500,65.259238
500.0,500,65.879956
423.0,423,68.652798
500.0,500,69.269225
500.0,500,69.864116
500.0,500,70.47288
500.0,500,73.333626
500.0,500,73.95585
335.0,335,74.367665
500.0,500,74.989922
500.0,500,75.594621
500.0,500,78.466568
500.0,500,79.09856
408.0,408,79.620733
500.0,500,80.250465
500.0,500,83.123453
500.0,500,83.742738
500.0,500,84.378039
500.0,500,84.994838
500.0,500,87.840579
500.0,500,88.418354
500.0,500,89.028481
500.0,500,89.638765
500.0,500,92.5409
500.0,500,93.148192
500.0,500,93.771986
500.0,500,94.383402
500.0,500,97.44079
500.0,500,98.066185
500.0,500,98.68318
500.0,500,99.323893
500.0,500,102.266316
500.0,500,102.888567
500.0,500,103.52775
500.0,500,104.193096
500.0,500,107.037958
500.0,500,107.640114
500.0,500,108.25914
500.0,500,108.877831
